Categoria,Contrato,Modelo Titular,Operação ,Cadastro - Logistics,Cadastro como Deveria Ser,Modo de carga,Placa,Ultimo BIPE,Dias Sem BIPE,Cadastro,Valor Diária,Energia,STATUS DO FORMS,STATUS DO VEÍCULO,MOTIVO DA MANUTENÇÃO,DESCRIÇÃO DO PROBLEMA (+ recente),ATUALIZAÇÕES,STATUS GEOTAB,Ultima Localização,Nº DE SERIE GEOTAB,Ultima Localização,Horário,Oficina,Contato ,Previsão Desmobilização,TICKET MANUTENÇÃO ROTAGYN,Estacionamentos - veículos em manutenção,Devolução,Representante da Basepex,Data devolução,FORMS
Large Van Elétrica,Arval,E-Transit,SSP34,Large Van Elétrica - Equipe Única,Large Van Elétrica - Equipe Única,Infra MLP,TAQ7A87,09/08/2026,2,Large Van Elétrica - Equipe Única,"R$ 1.084,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Estr. Velha da Olaria, 124 - Jardim Arco-Iris, Cotia - SP, 06719-150, Brasil",G963XV1VSVU6,03/08/2026,19:10:22,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Arval,E-Transit,SSP34,Large Van Elétrica - Equipe Única,Large Van Elétrica - Equipe Única,Infra MLP,TAQ7A50,06/08/2026,5,Large Van Elétrica - Equipe Única,"R$ 1.084,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Rua Philip Leiner, 100 - Rio Cotia, Cotia - SP, 06714-285, Brasil",G9PYMWHRFE4U,03/08/2026,19:10:01,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Arval,E-Transit,SSP34,Large Van Elétrica - Equipe Única,Large Van Elétrica - Equipe Única,Infra MLP,TAQ7A83,24/05/2026,79,Large Van Elétrica - Equipe Única,"R$ 1.084,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Van não carrega,"Problema para carregar, já foi testado 3 carregadores e sem sucesso, será levado para Ford para manutenção!",,Offline,"R. Turiassu, 1274 - Perdizes, São Paulo - SP, 05001-900, Brasil",G9JFJRR09940,15/06/2026,14:09:40,Ford Studio Perdizes,114617-9300,a confirmar (Basepex),NÃO POSSUI,"Av. Sumaré, 580 - PerdizesSão Paulo - SP, 05016-090",PENDENTE,,,NÃO
Large Van Elétrica,Arval,E-Transit,SSP34,Large Van Elétrica - Equipe Única,Large Van Elétrica - Equipe Única,Infra MLP,TAQ7A72,04/06/2026,68,Large Van Elétrica - Equipe Única,"R$ 1.084,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Van não carrega,"Van com problema para carregar, não carrega em nenhum carregador e provavelmente foi por conta das quedas de energia no estacionamento. Manutenção urgente por gentileza! -Veículo desligando sozinho - Pneu furado em mais de um lugar, já foi arrumado algumas vezes mas problema continua! 1 pneu dianteiro está furado, drive  todos dias tem encher pneu fazer reparo urgente / Trocar pastilhas de freio, ja estão pegando no disco  URGÊNTE ",,Offline,"R. Ciro Costa, 44 - Perdizes, São Paulo - SP, 05007-060, Brasil",G9Z64TE6XCFY,12/06/2026,16:32:13,Ford Studio Perdizes,1138664000,a confirmar (Basepex),NÃO POSSUI,"Av. Sumaré, 580 - PerdizesSão Paulo - SP, 05016-090",PENDENTE,,,NÃO
Large Van Elétrica,Arval,E-Transit,SSP34,Large Van Elétrica - Equipe Única,Large Van Elétrica - Equipe Única,Infra MLP,TAQ7A45,20/07/2026,22,Large Van Elétrica - Equipe Única,"R$ 1.084,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Van não carrega,Manutenção TAQTA45 Problema no carregador precisando de reparo Já está na Ford,,Offline,"Al. Rio Negro, 402e - Alphaville, Barueri - SP, 06454-000, Brasil",G9ASKMYT3VT4,27/07/2026,09:01:01,Ford Studio Perdizes,1138664000,a confirmar (Basepex),NÃO POSSUI,"Av. Sumaré, 580 - PerdizesSão Paulo - SP, 05016-090",PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP36,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9D90,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",FOLGA,ATIVO,-,-,,OK,"R. José Pinto de Lima, 114 - Mário Dedini, Piracicaba - SP, 13412-634, Brasil",G9JZPTUR2A5E,03/08/2026,19:07:48,-,-,10/ago./26,,,OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP36,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9D45,07/08/2026,4,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,Protocolo EVM20260713000046,Offline,"R. Fernão Pompeu de Camargo, 790 - Jardim Leonor, Campinas - SP, 13041-025, Brasil",G93BVSR4JX0R,14/06/2026,14:00:20,-,-,10/ago./26,41709,,OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP36,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAT1A92,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,maçaneta nao chegou - JAC (sem driver) - previsão de peça 29/05- CHAMADO ABERTO NO PORTAL - VEÍCULO COLIDIU,OK,"R. Gerônimo Casarini, 92 - Abaeté, Piracicaba - SP, 13420-248, Brasil",G9BTKYWA4M7C,03/08/2026,19:08:04,-,-,10/ago./26,,,OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP36,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAT1A93,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,ENVIADA CNH DO MOTORISTA - ALEXANDRA 17/07 ,OK,"R. Joaquim André, 775 - Paulista, Piracicaba - SP, 13400-850, Brasil",G91WF6925XB8,03/08/2026,19:08:03,-,-,10/ago./26,,,OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP36,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9D81,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,agendado 11/5; agendamento 15/05,OK,"R. Santa Catarina, 1906 - Água Branca, Piracicaba - SP, 13425-275, Brasil",G9VS30039CW4,03/08/2026,19:10:27,-,-,10/ago./26,,,OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP36,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9D70,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,PROTOCOLO EVM20260714000010,OK,"R. Cel. Manoel Inácio da Motta Pacheco, 1367 - Jardim Monumento, Piracicaba - SP, 13405-183, Brasil",G9EX2H706M8C,03/08/2026,18:42:15,-,-,10/ago./26,,,OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP36,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9D80,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,agendado 12/5; agendamento 18/5,OK,"Av. Piracicamirim, 2671 - Piracicamirim, Piracicaba - SP, 13417-780, Brasil",G96U21CEDF2A,03/08/2026,18:59:34,-,-,10/ago./26,,,OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP36,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAT1A78,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"R. Bento B. Amaral Gurgel, 153 - Jardim Taiguara I, Piracicaba - SP, 13411-110, Brasil",G97K1BMAV4Y0,03/08/2026,19:07:42,-,-,10/ago./26,,,OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP36,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9D92,31/07/2026,11,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,"Van estourou mocinetica, entortou a roda","Van estourou a mocinete dianteira , entortou a roda tbm .","Veículo guinchado - homocinetica estouro, ",OK,"Rod. Dom Gabriel Paulino Bueno Couto, 500 - Retiro, Jundiaí - SP, 13317-204, Brasil",G93K4F7TFN0B,03/08/2026,04:43:15,-,-,a confirmar (Basepex),,,NA OFICINA,NÃO,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP36,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9D47,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"R. Corcovado, 3600 - Vila Sônia, Piracicaba - SP, 13408-072, Brasil",G9VXMVS3AAD9,03/08/2026,19:10:29,-,-,10/ago./26,,,PENDENTE,NÃO,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP39,Large Van Eletrica J750,Large Van Eletrica J750,Infra Interna,TAU2F86,26/07/2026,16,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Amortecedor quebrou,Amortecedor quebrou em rota.,"04/08/2026 - aguardando retorno da evm , local aonde sera enviado o veiculo para amanutenção ",OK,"Rod. Pres. Dutra, 318 - Parque das Rodovias, Lorena - SP, 12605-530, Brasil",G9JS3MXUEMHT,03/08/2026,15:53:49,-,-,a confirmar (Basepex),,Parado na base do Meli,OK,SIM,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP39,Large Van Eletrica J750,Large Van Eletrica J750,Infra Interna,TAU2C10,09/08/2026,2,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,,Offline,"Tv. Goncalves Dias, 148 - Parque Mondesir, Lorena - SP, 12605-530, Brasil",G9YVR0863ZS7,02/07/2026,09:02:41,-,-,10/ago./26,41754,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP39,Large Van Eletrica J750,Large Van Eletrica J750,Infra Interna,TAU2F79,09/08/2026,2,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,-,OK,"Tv. Goncalves Dias, 148 - Parque Mondesir, Lorena - SP, 12605-530, Brasil",G9NH32RDT7J0,03/08/2026,19:08:10,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,Localiza,E-Transit,SSP39,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra Interna,TAR2A19,09/08/2026,2,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Rod. Pres. Dutra, 318 - Parque das Rodovias, Lorena - SP, 12605-530, Brasil",G9DMXRZ9U13A,03/08/2026,19:09:49,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,Localiza,E-Transit,SSP39,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra Interna,TAR1I71,09/08/2026,2,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Tv. Goncalves Dias, 148 - Parque Mondesir, Lorena - SP, 12605-530, Brasil",G9E9VYURHBRS,03/08/2026,19:09:53,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,Localiza,E-Transit,SSP39,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra Interna,TAR1J35,09/08/2026,2,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,-,OK,"R. Sem Denominacao, 385 - Parque Mondesir, Lorena - SP, 12605-530, Brasil",G92F3HNV5105,03/08/2026,18:08:09,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,Localiza,E-Transit,SSP39,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra Interna,TAR1I66,09/08/2026,2,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,-,OK,"R. Euclídes M de Aquino, 315 - Parque das Rodovias, Lorena - SP, 12605-565, Brasil",G9SR1W8RTPUA,03/08/2026,19:07:17,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,Localiza,E-Transit,SSP39,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra Interna,TAR1J72,09/08/2026,2,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,BRUNO NÃO MANDOU NA DATA DO AGENDAMENTO ,OK,"Tv. Goncalves Dias, 148 - Parque Mondesir, Lorena - SP, 12605-530, Brasil",G909YT0NB2VV,03/08/2026,19:09:23,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP39,Large Van Eletrica J750,Large Van Eletrica J750,Infra Interna,TAU2C09,09/08/2026,2,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Tv. Goncalves Dias, 148 - Parque Mondesir, Lorena - SP, 12605-530, Brasil",G9D85V2Z251C,03/08/2026,19:09:26,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP39,Large Van Eletrica J750,Large Van Eletrica J750,Infra Interna,TAU2F82,09/08/2026,2,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Tv. Goncalves Dias, 148 - Parque Mondesir, Lorena - SP, 12605-530, Brasil",G9SRRMHESRVA,03/08/2026,19:10:19,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP39,Large Van Eletrica J750,Large Van Eletrica J750,Infra Interna,TAU2C08,09/08/2026,2,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Rod. Pres. Dutra, 100 - Jardim Nova Era, Guaratinguetá - SP, 12503-010, Brasil",G9VXC8R1J8NY,03/08/2026,19:03:24,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP39,Large Van Eletrica J750,Large Van Eletrica J750,Infra Interna,TAU2F71,09/08/2026,2,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Tv. Goncalves Dias, 148 - Parque Mondesir, Lorena - SP, 12605-530, Brasil",G9V8JEZC5MDT,03/08/2026,18:48:39,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP39,Large Van Eletrica J750,Large Van Eletrica J750,Infra Interna,TAU3H08,09/08/2026,2,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,-,OK,"Tv. Goncalves Dias, 148 - Parque Mondesir, Lorena - SP, 12605-530, Brasil",G9NWBP87559W,03/08/2026,19:07:56,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP39,Large Van Eletrica J750,Large Van Eletrica J750,Infra Interna,TAU2F78,13/07/2026,29,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,"Amortecedor estourou em rota, está pegando no pneu. ","Amortecedor estourou em rota, está pegando no pneu. ",PROTOCOLO EVM20260713000031 / RES6758275108/1 - Guincho acionado para manutencão 27/07/2026 - (Eliene Alves),Offline,"Av. Dr. Nélson d'Ávila, 743 - Jardim Vale Paraiso, São José dos Campos - SP, 12245-030, Brasil",G9BY2BYFT0PY,30/07/2026,17:12:59,SOLICITADO EVM,(11) 93332-5411,a confirmar (Basepex),NÃO POSSUI,,NA OFICINA,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP39,Large Van Eletrica J750,Large Van Eletrica J750,Infra Interna,TAU2B93,09/06/2026,63,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,"Cambio, aguardando peça",Barulho na roda (que vai e volta) e freio não está muito bom.,,Offline,"R. João Crispim, 19 - Res. Burck, Louveira - SP, 13290-000, Brasil",G9JXWJ1T3V7J,23/07/2026,12:28:50,BOSCH CAR SERVICE SHALON,(12) 3301-3002,a confirmar (Basepex),NÃO POSSUI,,NA OFICINA,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D86,02/08/2026,9,Van Média Elétrica,"R$ 735,00","R$ 35,00",FOLGA,ATIVO,-,-,,OK,"Av. Pres. Médici, 1214 - Mutinga, Osasco - SP, 06268-000, Brasil",G9MDT06UJBEN,03/08/2026,19:02:11,-,-,12/ago./26,,,OK,,,SIM
Van Elétrica,Arval,JAC 5.5,SSP7,Van Elétrica JV,Van Elétrica JV,CAAS,TAO0J45,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Av. Pres. Médici, 1214 - Mutinga, Osasco - SP, 06268-000, Brasil",G96EJRXU76ND,03/08/2026,19:07:32,-,-,12/ago./26,,,OK,,,SIM
Large Van Elétrica,Localiza,E-Transit,SSP7,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra MLP,TCZ3F16,19/07/2026,23,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Van não carrega,"Veiculo com problema na parte elétrica, não está carregando, solicitar manutenção.",,OK,"Av. Pres. Médici, 1214 - Mutinga, Osasco - SP, 06268-000, Brasil",G9XFPWU6MZDU,03/08/2026,19:02:20,-,-,a confirmar (Basepex),,Parado no galpão de Osasco,OK,,,SIM
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D78,13/02/2026,179,Van Média Elétrica,"R$ 735,00","R$ 35,00",MANUTENÇÃO,INDISPONÍVEL,Van não carrega,"Veículo retornou da manutenção com os mesmos defeitos, inclusive com um defeito a mais a van não carrega mais, em nenhum carregador. ","localiza da um prazo de 48h se nao aprova automatico - AGUARDANDO PEÇA | 04/08 Em contato com o Ulisses da Localiza, prazo de retorno desse veículo é para 07/08",Offline,"Est. Recanto do Sol, 250 - Soares, Jarinu - SP, 13240-000, Brasil",G98Z46A23PZ4,12/07/2026,18:04:56,LE MANS VEICULOS,19 37948000,a confirmar (Basepex),NÃO POSSUI,"Avenida Jose de Souza Campo, 2156- Nova Campinas- Campinas - SP",NA OFICINA,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP7,Van Elétrica JV,Van Elétrica JV,CAAS,TAO0J41,15/07/2026,27,Van Elétrica JV,"R$ 774,00","R$ 34,00",MANUTENÇÃO,INDISPONÍVEL,Portas não travam,Falha elétrica no travamento das portas. Veículo não abre e nem fecha pelo controle nem manualmente. ,PROTOCOLO 22265971,Offline,"R. Cerro Corá, 1100 - Vila Romana, São Paulo - SP, 02520-310, Brasil",G949987AR7D4,01/08/2026,22:45:29,JAC LIMÃO - SÃO PAULO,11 91307-6398,a confirmar (Basepex),NÃO POSSUI,"Av. Engenheiro Caetano Álvares, 200 - Casa Verde -SP",NA OFICINA,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D76,14/07/2026,28,Van Média Elétrica,"R$ 735,00","R$ 35,00",MANUTENÇÃO,INDISPONÍVEL,Porta saiu do trilho,"Porta lateral caindo, problema nos trilhos. Caiu em rota, driver conseguiu fechar forçando e está parada no estacionamento ",PROTOCOLO 6887228 - ALEXANDRA 21/07 agendado 22/07 qualquer horario,Offline,"Av. Barão de Mauá, 1961 - Jardim Maringá, Mauá - SP, 09340-440, Brasil",G93ATYE9KPHA,12/06/2026,13:46:27,OFICINA MIL GRAU,(11) 3856-8513,a confirmar (Basepex),39841,"Liberada hoje da oficina, em São Miguel Paulista/São Paulo",NA OFICINA,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D73,10/08/2026,1,Van Média Elétrica,"R$ 735,00","R$ 35,00",FOLGA,ATIVO,-,-,,Offline,"Condomínio Barão de Mauá - Pte. Alta, Atibaia - SP, Brasil",G90D0JB8ENEV,23/01/2026,09:01:41,-,-,12/ago./26,41693,,PENDENTE,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D85,07/08/2026,4,Van Média Elétrica,"R$ 735,00","R$ 35,00",FOLGA,ATIVO,-,-,,OK,"Av. Pres. Médici, 1214 - Mutinga, Osasco - SP, 06268-000, Brasil",GA5N2EH1ZRTY,03/08/2026,18:49:29,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D89,10/08/2026,1,Van Média Elétrica,"R$ 735,00","R$ 35,00",FOLGA,ATIVO,-,-,,OK,"R. Camacam, 103 - Vila Anastácio, São Paulo - SP, 05095-000, Brasil",G9H4K12WB3P7,03/08/2026,18:09:24,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D87,10/08/2026,1,Van Média Elétrica,"R$ 735,00","R$ 35,00",FOLGA,ATIVO,-,-,aguardando orçamento ,OK,"R. Bartolomeu Paes, 136 - Lapa, São Paulo - SP, 05092-000, Brasil",G9HW4ZJ579K9,03/08/2026,19:04:54,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP7,Van Elétrica JV,Van Elétrica JV,CAAS,TAN9D66,10/08/2026,1,Van Elétrica JV,"R$ 774,00","R$ 34,00",FOLGA,ATIVO,-,-,SOLICITAMOS AGENDAMENTO EM 31/03/26,OK,"R. Bartolomeu Paes, 136 - Lapa, São Paulo - SP, 05092-000, Brasil",G91U7WN6666H,03/08/2026,19:05:10,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D80,10/08/2026,1,Van Média Elétrica,"R$ 735,00","R$ 35,00",RODOU,ATIVO,-,-,,Captura de tela 2026-08-03 191508.png,-,Captura de tela 2026-08-03 191508.png,Captura de tela 2026-08-03 191508.png,Captura de tela 2026-08-03 191508.png,-,-,12/ago./26,GEOTAB NÃO LIBEROU  VISUALIZAÇÃO,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP7,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAN9D43,10/08/2026,1,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,PROTOCOLO 4575770-26 GUINCHO,Offline,"Av. Eng. Caetano Álvares, 200 - Limão, São Paulo - SP, 02520-310, Brasil",G94UA1AEVECW,12/06/2026,15:20:06,-,-,12/ago./26,NÃO POSSUI,,PENDENTE,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D83,10/08/2026,1,Van Média Elétrica,"R$ 735,00","R$ 35,00",RODOU,ATIVO,-,-,AGUARDANDO PEÇA DO MODULO,Offline,"Rua Alvaro Suarez Acedo, 161 - Jardim do Cedro, Bragança Paulista - SP, 12926-270, Brasil",G9P3009YS2AS,12/02/2026,10:44:49,-,-,12/ago./26,41693,,PENDENTE,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D79,10/08/2026,1,Van Média Elétrica,"R$ 735,00","R$ 35,00",RODOU,ATIVO,-,-,"Motorista vai pagar o terceiro por fora, teve pequenos detalhes na van, o mesmo so ira encaixar no edilson funilaria.  - ",Offline,"Condomínio Barão de Mauá - Pte. Alta, Atibaia - SP, Brasil",G92VZT6JDWMS,23/02/2026,16:07:16,-,-,12/ago./26,41693,,PENDENTE,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D84,05/08/2026,6,Van Média Elétrica,"R$ 735,00","R$ 35,00",RODOU,ATIVO,-,-,CONTATO COM A OFICINA - ALEXANDRA16/07,Offline,"R. Monte Aprazível, 253 - Chácara da Barra, Campinas - SP, 13090-764, Brasil",G95E9BTHF59A,09/02/2026,17:15:56,-,-,12/ago./26,41693,,PENDENTE,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D82,07/08/2026,4,Van Média Elétrica,"R$ 735,00","R$ 35,00",RODOU,ATIVO,-,-,,OK,"R. Campos Vergueiro, 121 - Vila Anastácio, São Paulo - SP, 05095-020, Brasil",G9HRDSZ0V8KY,03/08/2026,18:54:43,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP7,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D90,10/08/2026,1,Van Média Elétrica,"R$ 735,00","R$ 35,00",RODOU,ATIVO,-,-,aguardando orçamento locadora,OK,"R. Camacam, 130 - Jardim Pte. Alta I, São Paulo - SP, 05095-000, Brasil",G92MJ6XS3SN7,03/08/2026,19:07:24,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP7,Van Elétrica JV,Van Elétrica JV,CAAS,TAO1A57,10/08/2026,1,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,CHAMADO ARVAL PARA O TERCEIRO ,OK,"R. Camacam, 107 - Vila Anastácio, São Paulo - SP, 05095-000, Brasil",G9WMXCN1A0HB,03/08/2026,19:10:15,-,-,12/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP7,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra MLP,TCZ3F21,09/08/2026,2,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"R. Bartolomeu Paes, 136 - Lapa, São Paulo - SP, 05092-000, Brasil",G9P5K2YR8N15,03/08/2026,16:58:45,-,-,12/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP7,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra MLP,TCZ3F31,09/08/2026,2,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,-,OK,"Av. Pres. Médici, 1214 - Mutinga, Osasco - SP, 06268-000, Brasil",G9XYSFD54E83,03/08/2026,18:47:57,-,-,12/ago./26,,,PENDENTE,,,NÃO
