Categoria,Contrato,Modelo Titular,Operação ,Cadastro - Logistics,Cadastro como Deveria Ser,Modo de carga,Placa,Ultimo BIPE,Dias Sem BIPE,Cadastro,Valor Diária,Energia,STATUS DO FORMS,STATUS DO VEÍCULO,MOTIVO DA MANUTENÇÃO,DESCRIÇÃO DO PROBLEMA (+ recente),ATUALIZAÇÕES,STATUS GEOTAB,Ultima Localização,Nº DE SERIE GEOTAB,Ultima Localização,Horário,Oficina,Contato ,Previsão Desmobilização,TICKET MANUTENÇÃO ROTAGYN,Estacionamentos - veículos em manutenção,Devolução,Representante da Basepex,Data devolução,FORMS
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I65,07/08/2026,4,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G9METKXCTXN1,03/08/2026,19:08:55,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra Interna,TAO1A64,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G9JNTPXMJ2EE,03/08/2026,19:10:18,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAO1A62,07/08/2026,4,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,PROTOCOLO 104337,OK,"Av. Quatorze de Dezembro, 3150 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9DEFC5HMDTM,03/08/2026,18:40:29,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I63,21/07/2026,21,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Bico do pneu quebrado,"Bico do pneu quebrado, vazando ar ",30/07 veiculo está parado por conta de um bico do pneu precisa trocar | 04/08 veículo parado na Estação de carregamento EZVolt,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G99D7KVU0ZDE,03/08/2026,12:29:47,RENOVACAR ,(11) 4526-4449,a confirmar (Basepex),NÃO POSSUI,"Av. Quatorze de Dezembro, 3200 - Vila Francisco Eber, Jundiaí - SP, 13206-105",PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra MLP,TAR1I69,14/07/2026,28,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Van pegou fogo,Van pegou fogo no svc,30/07 veiculo pegou no fogo / precisa saber aonde está o veiculo para possivel manutenção verificar com a locadora ( deivid ) ,Offline,"Al. Rio Negro, 400 - Alphaville, Barueri - SP, 06454-903, Brasil",G9JJZK0AWUB3,16/07/2026,10:15:28,MARPOL,11 98929-5516,a confirmar (Basepex),NÃO POSSUI,,PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP18,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Jundiaí,TAS9D64,25/11/2025,259,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Maçaneta da porta traseira quebrada,"Maçaneta da porta traseira quebrada,",recobramos no e-mail 14/04/26 - inf evm 16/04 Aguardando chegada de peça - chegará em 22/04; agendado 22/5 - sem previsão | 04/08 veículo parado na estação de recarga Ezvolt,Offline,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G93AMUDB3DB1,25/05/2026,09:20:31,-,-,a confirmar (Basepex),NÃO POSSUI,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP18,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Jundiaí,TAS9D57,28/02/2026,164,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Amortecedor quebrado,Amortecedor quebrado,04/08 veículo parado na oficina Marpol em jundiaí,Offline,"Av. Nossa Senhora da Consolação, 784 - Jardim Aurelia, Campinas - SP, 13033-140, Brasil",G96Y3383F45W,05/04/2026,12:41:18,MARPOL PEÇAS E SERVIÇOS LTDA,11 98929-5516,a confirmar (Basepex),NÃO POSSUI,"Rua Dom Gabriel Paulino Bueno Couto, 500 – Distrito Industrial – Jundiaí – São Paulo",PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra MLP,TAR1I68,05/08/2026,6,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",FOLGA,ATIVO,-,-,2° REAGENDAMENTO - SÓ LEVAR O VEÍCULO NA OFICINA ,Offline,"Al. Rio Negro, 400 - Alphaville, Barueri - SP, 06454-903, Brasil",G9ZYT0M09A2Y,09/06/2026,10:56:55,-,-,10/ago./26,41674,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1H36,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",FOLGA,ATIVO,-,-,PROTOCOLO 22143335,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G90SXM8Z5W1J,03/08/2026,18:59:33,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP18,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Jundiaí,TAS9D55,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",FOLGA,ATIVO,-,-,ENVIADO A BASE PARA RETIRAR O VEÍCULO 21/07,OK,"Av. Quatorze de Dezembro, 3100 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G96X4EBTDB36,03/08/2026,19:09:35,-,-,10/ago./26,,,PENDENTE,,,NÃO
